cdn,city,tour,run,lcp_ms,speed_index_ms,ttfb_ms
Cloudflare,Singapore,A,8,3130.0,3862.0,648
Cloudflare,Singapore,A,9,2948.0,3772.0,491
Cloudflare,Singapore,B,1,4538.0,4916.0,966
Cloudflare,Singapore,B,2,10353.0,10944.0,926
Cloudflare,Singapore,B,3,5829.0,6670.0,1306
Cloudflare,Singapore,B,4,5325.0,5539.0,1897
Cloudflare,Singapore,B,5,3339.0,3682.0,587
Cloudflare,Singapore,B,6,3371.0,3753.0,468
Cloudflare,Singapore,B,7,3537.0,3819.0,609
Cloudflare,Singapore,B,8,,1199.0,945
Cloudflare,Singapore,B,9,3619.0,3950.0,648
Cloudflare,Singapore,C,1,4027.0,4768.0,1110
Cloudflare,Singapore,C,2,3189.0,3538.0,623
Cloudflare,Singapore,C,3,3025.0,3572.0,537
Cloudflare,Singapore,C,4,3750.0,3866.0,876
Cloudflare,Singapore,C,5,3045.0,3901.0,582
Cloudflare,Singapore,C,6,3057.0,2904.0,513
Cloudflare,Singapore,C,7,4335.0,4456.0,827
Cloudflare,Singapore,C,8,10751.0,11493.0,894
Cloudflare,Singapore,C,9,9153.0,9726.0,3440
Cloudflare,Singapore,D,1,5653.0,6463.0,1467
Cloudflare,Singapore,D,2,8827.0,9640.0,941
Cloudflare,Singapore,D,3,5800.0,7077.0,1155
Cloudflare,Singapore,D,4,4128.0,4721.0,630
Cloudflare,Singapore,D,5,10350.0,11018.0,917
Cloudflare,Singapore,D,6,5844.0,6631.0,1019
Cloudflare,Singapore,D,7,5434.0,6167.0,991
Cloudflare,Singapore,D,8,3631.0,3930.0,532
Cloudflare,Singapore,D,9,7232.0,8085.0,4008
